;N°;Date;Artiste;Titre;Nombre de semaines n°1;Commentaires
335;336;28/01/2016;Renaud;Toujours debout;1;- Entré directement no 1
336;337;04/02/2016,25/02/2016;Rihanna feat. Drake;Work;2 (1 et 1);
337;338;18/02/2016;Jain;Come;1;
338;339;03/03/2016;Alan Walker feat. Iselin Solheim;Faded;4;
339;340;31/03/2016;Mylène Farmer;City of Love;1;- Deuxième no 1 extrait d'un même album (Interstellaires)
340;341;07/04/2016,21/04/2016;Kungs vs Cookin' on 3 Burners feat. Kylie Auldist;This Girl;2 (1 et 1);- Meilleure vente de 2016
341;342;14/04/2016;Drake feat. Wizkid & Kyla;One Dance;1;
342;343;28/04/2016;Prince & The Revolution;Purple Rain;1;- Entré directement no 1- Single sorti en 1984
343;344;05/05/2016;Sia feat. Sean Paul;Cheap Thrills;2;
344;345;19/05/2016,09/06/2016,30/06/2016,21/07/2016,04/08/2016,18/08/2016;Justin Timberlake;Can't Stop the Feeling!;7 (1, 1, 2, 1, 1 et 1);- Premier titre à accéder six fois au no 1 non consécutivement
345;346;26/05/2016, 01/09/2016;Céline Dion;Encore un soir;4 (2 et 2);- Entré directement no 1
346;347;16/06/2016,14/07/2016;David Guetta feat. Zara Larsson;This One's for You;3 (2 et 1);
347;348;28/07/2016;Booba;É.L.É.P.H.A.N.T.;1;- Entré directement no 1
348;349;11/08/2016;DJ Snake feat. Justin Bieber;Let Me Love You;1;- Entré directement no 1
349;350;25/08/2016;Imany;Don't Be So Shy (Filatov & Karas remix);1;
350;351;15/09/2016;Lady Gaga;Perfect Illusion;1;- Entré directement no 1
351;352;22/09/2016,01/12/2016;LP;Lost on You;6 (1 et 5);
352;353;29/09/2016;The Weeknd feat. Daft Punk;Starboy;1;
353;354;06/10/2016;Booba;DKR;1;- Entré directement no 1
354;355;13/10/2016,24/11/2016;Bruno Mars;24K Magic;2 (1 et 1);- Entré directement no 1
355;356;20/10/2016;Julien Doré;Le Lac;1;
356;357;27/10/2016;Richard Orlinski & Eva Simons;Heartbeat;3;
357;358;17/11/2016;Leonard Cohen;Hallelujah;1;- Entré directement no 1- Single sorti en 1984
358;359;06/01/2017;The Weeknd feat. Daft Punk;I Feel It Coming;1;- Deuxième no 1 extrait d'un même album (Starboy)
359;360;13/01/2017;Ed Sheeran;Shape of You;15;- Entré directement no 1- Meilleure vente de 2017
360;361;28/04/2017,23/06/2017;Luis Fonsi feat. Daddy Yankee;Despacito;18 (7 et 11);
