;Date;Artiste;Titre;Audio
85;03/01/1998;Andrea Bocelli & Hélène Ségara;Vivo per lei (Je vis pour elle);https://p.scdn.co/mp3-preview/10ca780e9c020a5b9584bc570618d075127c5cc6?cid=4d3bffd173c84f21ab47981ba6cd15f8
86;07/02/1998;Céline Dion;My Heart Will Go On;https://p.scdn.co/mp3-preview/68c13229ec9b1b4a5ea580e801061fd7791857c4?cid=4d3bffd173c84f21ab47981ba6cd15f8
87;09/05/1998;Ricky Martin;La copa de la vida;https://p.scdn.co/mp3-preview/a463efa19e732cfa89493e965fd040fdfdf380f5?cid=4d3bffd173c84f21ab47981ba6cd15f8
88;12/09/1998;Daniel Lavoie & Patrick Fiori & Garou;Belle;https://p.scdn.co/mp3-preview/5b2280de38c5464d22a8b2617aa6b8c3b89d06ea?cid=4d3bffd173c84f21ab47981ba6cd15f8
89;23/01/1999;Cher;Believe;https://p.scdn.co/mp3-preview/4d1118af5a493275e5c7522aaa26faa34b72d828?cid=4d3bffd173c84f21ab47981ba6cd15f8
90;30/01/1999;Larusso;Tu m'oublieras;https://p.scdn.co/mp3-preview/54c62225ea5847eae4324c0dd43669be40be9e88?cid=4d3bffd173c84f21ab47981ba6cd15f8
91;24/04/1999;Britney Spears;...Baby One More Time;https://p.scdn.co/mp3-preview/174e01719c3b06ee1437cb13f892e539df14b6d1?cid=4d3bffd173c84f21ab47981ba6cd15f8
92;07/08/1999;Eiffel 65;Blue (Da Ba Dee);https://p.scdn.co/mp3-preview/bbac41684f243a85862b5c010ec7c38e1a8bef5e?cid=4d3bffd173c84f21ab47981ba6cd15f8
93;28/08/1999;Lou Bega;Mambo No. 5 (A little bit of…);https://p.scdn.co/mp3-preview/c98bff86083944b2b50af1b5dfb04279d5342cde?cid=4d3bffd173c84f21ab47981ba6cd15f8
94;15/01/2000,05/02/2000;Eiffel 65;Move Your Body;https://p.scdn.co/mp3-preview/7a8e87711eabea326e6e47276258106b0b2c2b4f?cid=4d3bffd173c84f21ab47981ba6cd15f8
95;26/02/2000;Tom Jones & Mousse T.;Sex Bomb;https://p.scdn.co/mp3-preview/e42ca54617ec337708e25e24685d0bed922179bc?cid=4d3bffd173c84f21ab47981ba6cd15f8
96;15/04/2000;Yannick;Ces soirées-là;https://p.scdn.co/mp3-preview/f48c864d8536cfe9ebe44f599dd35807dec00017?cid=4d3bffd173c84f21ab47981ba6cd15f8
97;29/07/2000;Santana feat. The Product G&B;Maria Maria;https://p.scdn.co/mp3-preview/aeca3af8544ab78fef1485a06e5542b65ce00d66?cid=4d3bffd173c84f21ab47981ba6cd15f8
98;26/08/2000,25/11/2000;Philippe d'Avilla & Damien Sargue & Grégori Baquet;Les Rois du monde;https://p.scdn.co/mp3-preview/4551255256704f7e3216c3c07f168898d1efa4be?cid=4d3bffd173c84f21ab47981ba6cd15f8
99;18/11/2000;Daft Punk;One More Time;https://p.scdn.co/mp3-preview/5e7d7e1faefc00e347d0a1c958d4b7f52baa3a44?cid=4d3bffd173c84f21ab47981ba6cd15f8
100;30/12/2000;Alizée;L'Alizé;https://p.scdn.co/mp3-preview/c4adbe90a41f1841289f690093110e360415cf3e?cid=4d3bffd173c84f21ab47981ba6cd15f8
101;13/01/2001;Garou;Seul;https://p.scdn.co/mp3-preview/3dc0a2c451e88fe1c45a12af9d0621acd61e7db6?cid=4d3bffd173c84f21ab47981ba6cd15f8
102;31/03/2001;"Shaggy feat. Ricardo ""Rikrok"" Ducent";It Wasn't Me;https://p.scdn.co/mp3-preview/fcd7af7d45305d02cdc3cf0c41459d6103a33cea?cid=4d3bffd173c84f21ab47981ba6cd15f8
103;09/06/2001;MC Solaar;Hasta la vista;https://p.scdn.co/mp3-preview/b276e1a5a3e8d8bb4816498aa693198c3631b5f3?cid=4d3bffd173c84f21ab47981ba6cd15f8
104;14/07/2001;Les Lofteurs;Up and down;https://p.scdn.co/mp3-preview/f529ac92d9c474f31d509a315e19301b2906c793?cid=4d3bffd173c84f21ab47981ba6cd15f8
105;01/09/2001;Geri Halliwell;It's Raining Men;https://p.scdn.co/mp3-preview/e006ed2f49beb55b9e0746f12845cdf77ff536b5?cid=4d3bffd173c84f21ab47981ba6cd15f8
106;13/10/2001;Michael Jackson;You Rock My World;https://p.scdn.co/mp3-preview/b5ce9be6cb4f767747bdfab9d43bb3bc1a78bda3?cid=4d3bffd173c84f21ab47981ba6cd15f8
107;03/11/2001;Garou & Céline Dion;Sous le vent;https://p.scdn.co/mp3-preview/4ea806743abad0ce7cb7d8bb2a4ab7aec9c950ad?cid=4d3bffd173c84f21ab47981ba6cd15f8
108;24/11/2001;Kylie Minogue;Can't Get You Out of My Head;https://p.scdn.co/mp3-preview/80a42bfd505424a41c3e43b66b4e64571e36d49c?cid=4d3bffd173c84f21ab47981ba6cd15f8
109;08/12/2001;Star Academy 1;La Musique;https://p.scdn.co/mp3-preview/1c80231d0f8b692872f19463555a19f725d6c9d7?cid=4d3bffd173c84f21ab47981ba6cd15f8
